,match_id,game_time,game_duration,player0,player1,player2,player3,player4,player5,player6,player7,player8,player9
47,NA1_4172716357,1641867793472,1410,Nasus,Talon,Zed,Caitlyn,Lux,Chogath,XinZhao,Lissandra,Samira,Lulu
48,NA1_4170168156,1641704205854,1108,Poppy,Talon,Qiyana,Jinx,Rakan,Maokai,Ivern,Zed,Twitch,Blitzcrank
49,NA1_4228309779,1645662480625,1824,Aatrox,Khazix,Yasuo,Sion,Zoe,Teemo,Kayn,Ekko,Ashe,Karma
50,NA1_4228245029,1645660661952,1471,Jax,Khazix,Yasuo,Sion,Zoe,Nasus,Graves,Akali,Jinx,Rakan
51,NA1_4228263200,1645660085566,207,Darius,Diana,Yasuo,Ezreal,Senna,Janna,Shaco,Kassadin,Twitch,
52,NA1_4228188778,1645658031510,1517,Tryndamere,Kayn,Ahri,Jinx,Morgana,Garen,LeeSin,Yone,Lucian,Renata
53,NA1_4221051736,1645154869834,1442,Irelia,Viego,Xerath,Ziggs,Trundle,Aatrox,Diana,Yone,Jinx,Blitzcrank
54,NA1_4221005240,1645153174645,1208,Yorick,Vi,Malphite,Jinx,Blitzcrank,Jax,Viego,Vex,Xayah,Renata
55,NA1_4219721577,1645052374598,2519,Pyke,,,,,Thresh,,,,
56,NA1_4219695611,1645049659217,2367,Senna,,,,,Nami,,,,
57,NA1_4219583263,1645043085316,1420,Lulu,,,,,Zilean,,,,
58,NA1_4217882700,1644892306169,2259,Camille,Trundle,Galio,Ezreal,Janna,Tryndamere,Ekko,Veigar,MissFortune,Lulu
59,NA1_4217797241,1644890392799,1421,Jax,Kayn,Galio,Draven,Lulu,Sion,Elise,Akali,Samira,Alistar
60,NA1_4217802039,1644888437770,1595,Irelia,Rengar,Orianna,Kaisa,Janna,Gangplank,Diana,Zed,Zeri,TahmKench
61,NA1_4217637211,1644886160319,1738,Chogath,Nocturne,Sett,Aphelios,Janna,Gangplank,Shaco,Yasuo,Caitlyn,TahmKench
62,NA1_4216740973,1644804218552,1540,Jayce,Zed,Sylas,MissFortune,Soraka,Gangplank,LeeSin,Vladimir,Xayah,Lux
63,NA1_4216724069,1644801887205,1977,Gangplank,Nocturne,Renekton,Kaisa,Sett,Aatrox,Zac,Yasuo,Zeri,Xerath
64,NA1_4216515065,1644788338974,1471,Singed,Graves,Vladimir,Ashe,Thresh,Aatrox,Kayn,Katarina,Kaisa,Yuumi
65,NA1_4216521028,1644786648802,1349,Jayce,Viego,Leblanc,Jinx,Janna,Tryndamere,Kayn,Zed,Jhin,Swain
66,NA1_4215686762,1644714632433,1340,Akshan,Hecarim,Kassadin,Ezreal,Yuumi,Yasuo,Kindred,Camille,Vayne,Sona
